Year,Month,Material Description,Quantity
2018,9,529/F1 VALVE PLATE_F (1W),67200
2018,9,529/R1 VALVE PLATE_R (1W),67200
2018,9,531/0 SPROCKET CRANK SHAFT-4.38 THK,37250
2018,9,540/0 DISTANCE PLATE 1,800
2018,9,553/0 PLATE PRESSURE CLUTCH,6000
2018,9,558/0 LOCK WASHER BRG NUT,20160
2018,9,565/0 FACE  DRIVE,75400
2018,9,569/0  VALVE  PLATE,120000
2018,9,"572/0 GEAR COMP, STARTER CLUTCH",7312
2018,9,"578/0 LEVER,  REVERSE GEAR SHIFT",12000
2018,9,"579/0 BRACKET,  REVERSE GEAR SHIFT",12000
2018,9,589/0 SPROCKET,4800
2018,9,590/0 PAWL,184500
2018,9,591/0 PAWL GEAR SHIFT,228500
2018,9,592/0 WHEEL STARTER,4620
2018,9,593/0 GEAR STARTER CLUTCH,9580
2018,9,"595/0 LOCK WASHER BEARING HUB, 6.5T P-II",10800
2018,9,602/0 SPROCKET CAM SHAFT-4.52 THK,30150
2018,9,605/0 COVER OIL PUMP,3312
2018,9,606/0 WHEEL STARTER,47790
2018,9,607/0 WHEEL  STARTER,51000
2018,9,614/0 SEGMENT,147000
2018,9,760/0 RETAINER PLATE,1600
2018,9,762/0 PRESSURE PLATE,1600
2018,9,764/1 PRESSURE PLATE(R/G),1600
2018,9,793/0 PLATE SYNC HUB,16000
2018,9,813/2 LEVER SHIFT - 1,21500
2018,9,814/2 LEVER SHIFT - 2,78000
2018,9,816/1 PLATE SHIFT DRUM STOPPER,532700
2018,9,820/3 HOLDER CLUTCH,21600
2018,9,863/0 PLATE CLUTCH,36000
2018,9,877/0 SPROCKET CAM,60240
2018,9,880/0 STOPR COMP.GR SHIFT DRUM,118510
2018,9,881/0 SPROCKET CAM,93600
2018,9,884/1 RATCHET PLATE,100000
2018,9,890/ plate clutch with out Planish.(k1),5000
2018,9,890/0 plate clutch with Planish.(k1),70000
2018,9,893/0 STOPPER LEVER ASSY.,81000
2018,9,895/0 LEVER SHIFT 1.,49000
2018,9,896/0 JAW FINGER VERTICAL,240000
2018,9,909/M MASTER ARM GEAR SHIFTER,119000
2018,9,915/0 SPROCKET STARTING,210000
2018,9,918/M SPROCKET,48360
2018,9,919/M ASSLY REVERSE LEVER,8000
2018,9,920/0 LATCH,15000
2018,9,921/0 PLATE,90000
2018,9,"923/0 ,KEY PACKING",70000
2018,9,924/1 SPROCKET CAM,400200
2018,9,925/0 SPROCKET,27120
2018,9,930/0 KEY,30000
2018,9,935/0 STOPPER LEVER ASSY.,8000
2018,9,936/0 PLATE,68000
2018,9,937/0 SPACER WASHER,150000
2018,9,938/F PLATE VALVE FRONT 1W,16800
2018,9,938/R PLATE VALVE  REAR-1W,16800
2018,9,"941/0 Washer, 5th Sync Hub",43200
2018,9,"943/1 , STOPPER PLATE",6000
2018,9,945/0 STOPPER LEVER ASSY.,6000
2018,9,947/0 Stopper Comp Gear Shift Cam,14500
2018,9,949/0 STOPPER LEVER ASSY.,2000
2018,9,950/0 LEVER SHIFT 1,5000
2018,9,951/0 LEVER SHIFT 2,7000
2018,9,952/0 PLATE CLUTCH,61500
2018,9,EXP63 NABE,5000
2018,9,EXP64A NABE,8000
2018,10,037/A CONTACT FINGER,7250
2018,10,037/B CONTACT FINGER,55000
2018,10,1000/0 WHEEL STARTER,10020
2018,10,1003/0 FACE DRIVE,37680
2018,10,1004/0 PLATE SIDE,20160
2018,10,1007/0 STOPPER LEVER ASSY.,7000
2018,10,1010/0 ROTOR SENSOR,2560
2018,10,1012/0 GEAR STARTER CLUTCH,22266
2018,10,1013/F - F DISCHARGE VALVE PLATE 1W,6000
2018,10,1013/R - R DISCHARGE VALVE PLATE 1W,6000
2018,10,1014/0 GEAR COMP. STARTER DRIVEN,100
2018,10,1015/0 GEAR STARTER CLUTCH,80020
2018,10,134/0 TRIPPING CAM,900
2018,10,162/0 VALVE SPRING DISC,22400
2018,10,256/1 CONTACT FINGER,50000
2018,10,337/4 HOLDER,115008
2018,10,487/0 PLATE VALVE INLET TS5,1110
2018,10,488/0 PLATE VALVE DISC TS5,1110
2018,10,490/0 PRESSURE PLATE 4.5MM,3000
2018,10,492/0 PRESSURE PLATE 6.5MM,6000
2018,10,"499/F1 F DISCHARGE VALVE PLATE, 1W",38400
2018,10,"499/R1 R DISCHARGE VALVE PLATE, 1W",38400
2018,10,500/0 THRUST WASHER,20000
2018,10,503/0 TONGUE SPACER,51480
2018,10,505/0 COUPLING,10000
2018,10,529/F1 VALVE PLATE_F (1W),52800
